Product,Annual_Demand,Ordering_Cost,Holding_Cost,Lead_Time_Days
SKU0 (Skincare),7443.0,22.28,1.4420000000000002,24.0
SKU1 (Cosmetics),7306.0,29.46,5.0600000000000005,1.0
SKU2 (Skincare),5696.0,45.79,2.574,6.0
SKU3 (Skincare),5901.0,33.09,6.2620000000000005,21.0
SKU4 (Haircare),2906.0,10.26,10.65,6.0
SKU5 (Haircare),637.0,47.29,3.596,26.0
SKU6 (Haircare),6086.0,33.25,5.050000000000001,12.0
SKU7 (Cosmetics),1941.0,20.07,7.672000000000001,13.0
SKU8 (Skincare),8816.0,11.27,2.8260000000000005,13.0
SKU9 (Skincare),7071.0,40.73,1.098,29.0
SKU10 (Haircare),5725.0,32.9,3.024,15.0
SKU11 (Cosmetics),3050.0,29.01,2.006,21.0
SKU12 (Cosmetics),8092.0,45.23,7.01,16.0
SKU13 (Haircare),4880.0,40.49,8.47,22.0
SKU14 (Haircare),2468.0,11.83,5.956,21.0
SKU15 (Haircare),6755.0,19.03,5.68,11.0
SKU16 (Haircare),8273.0,16.18,5.968,28.0
SKU17 (Skincare),4595.0,38.48,2.686,5.0
SKU18 (Skincare),9263.0,6.51,5.774000000000001,4.0
SKU19 (Haircare),6102.0,30.65,6.442,3.0
SKU20 (Skincare),6714.0,39.31,7.344,19.0
SKU21 (Haircare),9458.0,44.45,7.972,20.0
SKU22 (Haircare),6019.0,20.39,3.66,25.0
SKU23 (Skincare),953.0,41.96,2.166,18.0
SKU24 (Skincare),4246.0,9.98,2.45,15.0
SKU25 (Cosmetics),3869.0,43.09,4.8340000000000005,9.0
SKU26 (Haircare),674.0,10.74,7.7780000000000005,17.0
SKU27 (Skincare),1248.0,22.88,6.5840000000000005,14.0
SKU28 (Skincare),6393.0,40.88,1.1980000000000002,15.0
SKU29 (Haircare),6557.0,11.75,5.982,1.0
SKU30 (Skincare),7609.0,15.32,4.692,21.0
SKU31 (Haircare),4877.0,37.5,3.3060000000000005,22.0
SKU32 (Haircare),3954.0,37.4,2.3160000000000003,22.0
SKU33 (Cosmetics),2591.0,33.85,4.106000000000001,3.0
SKU34 (Cosmetics),3224.0,36.23,10.352,16.0
SKU35 (Cosmetics),5791.0,29.42,3.948,23.0
SKU36 (Haircare),3151.0,16.33,5.662,25.0
SKU37 (Haircare),104.0,20.56,7.048000000000001,11.0
SKU38 (Skincare),5322.0,13.17,4.454,12.0
SKU39 (Skincare),5415.0,45.88,6.708,10.0
SKU40 (Haircare),4969.0,31.25,10.796,16.0
SKU41 (Skincare),976.0,23.04,3.64,8.0
SKU42 (Haircare),9283.0,25.79,3.35,6.0
SKU43 (Cosmetics),7127.0,47.63,4.03,12.0
SKU44 (Haircare),4242.0,11.9,2.394,24.0
SKU45 (Skincare),7066.0,31.38,1.064,28.0
SKU46 (Haircare),7179.0,27.76,6.722,21.0
SKU47 (Skincare),8087.0,32.52,3.812,8.0
SKU48 (Skincare),6899.0,5.81,1.59,26.0
SKU49 (Haircare),4565.0,44.25,3.826,28.0
SKU50 (Cosmetics),735.0,46.95,8.216,4.0
SKU51 (Cosmetics),1793.0,30.43,1.8920000000000003,26.0
SKU52 (Cosmetics),9974.0,36.35,1.768,8.0
SKU53 (Cosmetics),4852.0,46.51,5.196000000000001,26.0
SKU54 (Skincare),8411.0,36.83,11.616,28.0
SKU55 (Cosmetics),930.0,11.86,3.088,18.0
SKU56 (Haircare),5277.0,30.93,5.2780000000000005,28.0
SKU57 (Haircare),9661.0,32.3,7.626000000000001,28.0
SKU58 (Haircare),9032.0,24.09,2.878,5.0
SKU59 (Haircare),8408.0,38.14,7.990000000000001,9.0
SKU60 (Skincare),6049.0,47.05,2.838,4.0
SKU61 (Haircare),2938.0,46.65,7.004000000000001,27.0
SKU62 (Cosmetics),1250.0,25.29,6.138000000000001,22.0
SKU63 (Skincare),7660.0,10.1,6.7940000000000005,17.0
SKU64 (Haircare),2031.0,49.32,1.452,9.0
SKU65 (Skincare),9304.0,42.75,8.262,1.0
SKU66 (Haircare),1764.0,10.61,4.468,21.0
SKU67 (Cosmetics),1181.0,46.44,1.7600000000000002,20.0
SKU68 (Haircare),612.0,44.15,1.584,13.0
SKU69 (Cosmetics),7905.0,28.35,6.338000000000001,28.0
SKU70 (Cosmetics),5337.0,31.61,4.5040000000000004,16.0
SKU71 (Haircare),659.0,22.96,0.8960000000000001,29.0
SKU72 (Haircare),3772.0,7.46,5.696000000000001,13.0
SKU73 (Cosmetics),7504.0,20.08,1.9320000000000002,14.0
SKU74 (Skincare),3443.0,41.13,6.4,3.0
SKU75 (Skincare),4170.0,5.21,2.06,29.0
SKU76 (Cosmetics),9762.0,20.01,6.952,6.0
SKU77 (Haircare),680.0,22.92,2.7880000000000003,18.0
SKU78 (Skincare),7104.0,29.18,10.484000000000002,19.0
SKU79 (Haircare),8230.0,46.39,2.6340000000000003,5.0
SKU80 (Cosmetics),3247.0,20.59,4.766,15.0
SKU81 (Skincare),4349.0,20.61,2.1100000000000003,25.0
SKU82 (Haircare),1779.0,38.19,6.258,2.0
SKU83 (Haircare),3606.0,25.35,9.292,10.0
SKU84 (Haircare),7353.0,15.11,2.0260000000000002,24.0
SKU85 (Haircare),2844.0,25.36,4.216,18.0
SKU86 (Skincare),9535.0,11.34,6.57,27.0
SKU87 (Skincare),5288.0,12.94,5.306000000000001,13.0
SKU88 (Cosmetics),2241.0,27.43,6.07,5.0
SKU89 (Skincare),6717.0,23.85,3.184,23.0
