Product type,SKU,Price,Availability,Number of products sold,Revenue generated,Customer demographics,Stock levels,Lead times,Order quantities,Shipping times,Shipping carriers,Shipping costs,Supplier name,Location,Production volumes,Manufacturing lead time,Manufacturing costs,Inspection results,Defect rates,Transportation modes,Routes,Costs
skincare,SKU0,12.8,24,7443,95270.4,Non-binary,34,24,72,9,Carrier B,22.28,Supplier 4,Chennai,417,16,7.21,Pass,0.0393,Rail,Route A,649.3
cosmetics,SKU1,66.64,75,7306,486871.84,Male,21,1,98,3,Carrier B,29.46,Supplier 5,Chennai,691,24,25.3,Pass,0.0133,Rail,Route A,744.54
skincare,SKU2,37.98,72,5696,216334.08,Unknown,66,6,95,3,Carrier C,45.79,Supplier 1,Kolkata,315,12,12.87,Pass,0.0124,Air,Route A,345.36
skincare,SKU3,55.26,36,5901,326089.26,Female,88,21,68,2,Carrier B,33.09,Supplier 1,Chennai,438,15,31.31,Fail,0.0199,Road,Route A,472.19
haircare,SKU4,90.77,38,2906,263777.62,Unknown,93,6,36,3,Carrier A,10.26,Supplier 5,Delhi,875,25,53.25,Pass,0.0164,Road,Route A,209.7
haircare,SKU5,32.19,84,637,20505.03,Female,90,26,58,3,Carrier B,47.29,Supplier 3,Kolkata,760,10,17.98,Pass,0.0449,Rail,Route A,263.03
haircare,SKU6,46.52,99,6086,283120.72,Female,17,12,86,5,Carrier C,33.25,Supplier 3,Chennai,180,25,25.25,Fail,0.0188,Road,Route C,713.01
cosmetics,SKU7,77.24,89,1941,149922.84,Unknown,63,13,42,5,Carrier C,20.07,Supplier 3,Kolkata,826,7,38.36,Pass,0.049,Road,Route A,263.29
skincare,SKU8,30.36,99,8816,267653.76,Unknown,23,13,10,2,Carrier B,11.27,Supplier 5,Bangalore,584,20,14.13,Pass,0.0235,Road,Route C,572.65
skincare,SKU9,16.85,25,7071,119146.35,Unknown,53,29,30,6,Carrier C,40.73,Supplier 1,Mumbai,473,5,5.49,Pass,0.0173,Rail,Route B,738.14
haircare,SKU10,35.79,93,5725,204897.75,Unknown,16,15,64,5,Carrier A,32.9,Supplier 5,Kolkata,809,1,15.12,Pass,0.0416,Air,Route A,196.19
cosmetics,SKU11,24.35,18,3050,74267.5,Non-binary,65,21,15,6,Carrier A,29.01,Supplier 5,Mumbai,299,17,10.03,Fail,0.0363,Sea,Route B,610.58
cosmetics,SKU12,92.74,82,8092,750452.08,Male,23,16,90,1,Carrier B,45.23,Supplier 3,Chennai,636,3,35.05,Pass,0.0299,Air,Route B,330.91
haircare,SKU13,81.92,66,4880,399769.6,Female,80,22,78,5,Carrier B,40.49,Supplier 2,Mumbai,565,13,42.35,Pass,0.0322,Sea,Route B,966.63
haircare,SKU14,66.37,54,2468,163801.16,Unknown,13,21,14,9,Carrier B,11.83,Supplier 1,Kolkata,188,14,29.78,Pass,0.0388,Road,Route C,535.19
